▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.182:3000
- Environments: .env.local
✓ Ready in 917ms
✓ Running next.config.mjs took 40ms

○ Compiling / ...
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 364ms, application-code: 7.8s)
 HEAD / 200 in 14.3s (next.js: 6.2s, proxy.ts: 365ms, application-code: 7.8s)
 HEAD / 200 in 14.3s (next.js: 6.3s, proxy.ts: 233ms, application-code: 7.8s)
 HEAD / 200 in 14.3s (next.js: 6.2s, proxy.ts: 360ms, application-code: 7.8s)
 HEAD / 200 in 10.7s (next.js: 2.9s, proxy.ts: 5ms, application-code: 7.8s)
 HEAD / 200 in 10.6s (next.js: 2.9s, proxy.ts: 5ms, application-code: 7.7s)
 HEAD / 200 in 12.8s (next.js: 5.0s, proxy.ts: 6ms, application-code: 7.7s)
 HEAD / 200 in 12.9s (next.js: 5.2s, proxy.ts: 3ms, application-code: 7.7s)
 HEAD / 200 in 12.9s (next.js: 5.2s, proxy.ts: 5ms, application-code: 7.7s)
 HEAD / 200 in 13.0s (next.js: 5.3s, proxy.ts: 8ms, application-code: 7.7s)
 HEAD / 200 in 11.3s (next.js: 3.7s, proxy.ts: 13ms, application-code: 7.7s)
 HEAD / 200 in 12.8s (next.js: 5.1s, proxy.ts: 6ms, application-code: 7.7s)
 HEAD / 200 in 14.3s (next.js: 6.4s, proxy.ts: 299ms, application-code: 7.7s)
 HEAD / 200 in 11.2s (next.js: 3.6s, proxy.ts: 15ms, application-code: 7.6s)
 HEAD / 200 in 12.7s (next.js: 5.0s, proxy.ts: 6ms, application-code: 7.6s)
 HEAD / 200 in 11.2s (next.js: 3.6s, proxy.ts: 15ms, application-code: 7.6s)
 HEAD / 200 in 14.3s (next.js: 6.4s, proxy.ts: 300ms, application-code: 7.6s)
 HEAD / 200 in 11.1s (next.js: 3.5s, proxy.ts: 5ms, application-code: 7.6s)
 HEAD / 200 in 12.7s (next.js: 5.1s, proxy.ts: 8ms, application-code: 7.6s)
 HEAD / 200 in 11.1s (next.js: 3.5s, proxy.ts: 5ms, application-code: 7.6s)
 HEAD / 200 in 14.4s (next.js: 6.5s, proxy.ts: 302ms, application-code: 7.6s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 229ms, application-code: 7.6s)
 HEAD / 200 in 14.4s (next.js: 6.5s, proxy.ts: 290ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.5s, proxy.ts: 295ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.5s, proxy.ts: 304ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 297ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 282ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 292ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 296ms, application-code: 7.5s)
 HEAD / 200 in 10.8s (next.js: 3.3s, proxy.ts: 9ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 298ms, application-code: 7.5s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 283ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 308ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.6s, proxy.ts: 309ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 310ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 311ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 287ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 281ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 306ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 282ms, application-code: 7.4s)
 HEAD / 200 in 14.4s (next.js: 6.8s, proxy.ts: 280ms, application-code: 7.4s)
 HEAD / 200 in 11.9s (next.js: 4.6s, proxy.ts: 3ms, application-code: 7.3s)
 HEAD / 200 in 14.4s (next.js: 6.8s, proxy.ts: 284ms, application-code: 7.3s)
 HEAD / 200 in 14.4s (next.js: 6.8s, proxy.ts: 223ms, application-code: 7.3s)
 HEAD / 200 in 14.4s (next.js: 6.7s, proxy.ts: 411ms, application-code: 7.3s)
 HEAD / 200 in 5.0s (next.js: 976ms, proxy.ts: 3.6s, application-code: 394ms)
 HEAD / 200 in 5.0s (next.js: 990ms, proxy.ts: 3.6s, application-code: 418ms)
 HEAD / 200 in 4.9s (next.js: 1041ms, proxy.ts: 3.5s, application-code: 308ms)
 GET / 200 in 560ms (next.js: 127ms, proxy.ts: 60ms, application-code: 374ms)
 GET / 200 in 565ms (next.js: 145ms, proxy.ts: 62ms, application-code: 358ms)
 GET / 200 in 571ms (next.js: 175ms, proxy.ts: 57ms, application-code: 340ms)
 GET / 200 in 563ms (next.js: 179ms, proxy.ts: 62ms, application-code: 323ms)
 GET / 200 in 152ms (next.js: 22ms, proxy.ts: 15ms, application-code: 115ms)
 GET / 200 in 119ms (next.js: 17ms, proxy.ts: 6ms, application-code: 96ms)
[?25h
